Timestamp,gender,edu_level,study_time,study_method,tech_use,best_time,break_freq,prep_method,sleep_time,exercise,diet,focus,phone_use,env,sm_use,gpa_year,gpa_semester
4/3/2025 22:59:57,Male,University,2-4 hours,Self-study,Yes,Late night,10-15 min/hour,1-2 weeks before,6-8 hours,Never,No specific diet,Yes,Yes,Soft background music,< 15 min/hour,6.1,6.1
4/3/2025 23:02:02,Female,Middle school,> 4 hours,"Self-study, Group study",Yes,Evening,15+ min/hour,1-2 weeks before,4-6 hours,3-4 times,Balanced diet,Yes,Yes,Soft background music,< 15 min/hour,7.8,8.0
4/3/2025 23:05:29,Female,University,2-4 hours,"Self-study, Online learning",Yes,Late night,5 min/hour,1-2 weeks before,6-8 hours,Never,Balanced diet,Yes,Yes,"Noisy (cafe, crowded library, etc.)",> 30 min/hour,3.5,3.5
4/3/2025 23:10:42,Male,University,> 4 hours,Self-study,Yes,Evening,15+ min/hour,1-2 weeks before,6-8 hours,1-2 times,No specific diet,Yes,Yes,Soft background music,< 15 min/hour,8.0,8.0
4/3/2025 23:11:50,Female,University,2-4 hours,Tutoring,Yes,Afternoon,10-15 min/hour,1-2 weeks before,6-8 hours,Never,No specific diet,Yes,Yes,Soft background music,< 15 min/hour,8.9,9.0
4/3/2025 23:12:35,Female,University,2-4 hours,"Self-study, Online learning",Yes,Late night,10-15 min/hour,1-2 weeks before,4-6 hours,3-4 times,No specific diet,Yes,Yes,Soft background music,15-30 min/hour,3.2,3.26
4/3/2025 23:15:27,Male,University,2-4 hours,"Self-study, Online learning",Yes,Evening,10-15 min/hour,1-2 weeks before,6-8 hours,5+ times,Balanced diet,Yes,Yes,Silent,< 15 min/hour,8.72,8.34
4/3/2025 23:15:41,Male,University,2-4 hours,"Self-study, Tutoring",Yes,Late night,10-15 min/hour,1-2 weeks before,4-6 hours,Never,No specific diet,No,Yes,Silent,< 15 min/hour,5.0,6.0
4/3/2025 23:15:43,Female,University,2-4 hours,"Group study, Online learning",Yes,Late night,5 min/hour,> 2 weeks before,4-6 hours,Never,No specific diet,Yes,Yes,Silent,< 15 min/hour,3.0,3.02
4/3/2025 23:17:46,Female,University,2-4 hours,"Self-study, Online learning",Yes,Late night,10-15 min/hour,1-2 weeks before,6-8 hours,3-4 times,Balanced diet,No,Yes,Soft background music,< 15 min/hour,7.5,7.2
4/3/2025 23:19:49,Male,University,1-2 hours,"Self-study, Group study",Yes,Morning,5 min/hour,1-2 weeks before,> 8 hours,1-2 times,No specific diet,Yes,Yes,Silent,15-30 min/hour,8.5,9.0
4/3/2025 23:21:03,Male,High school,2-4 hours,Tutoring,Yes,Late night,15+ min/hour,1-2 weeks before,4-6 hours,5+ times,Balanced diet,Yes,Yes,Soft background music,15-30 min/hour,7.4,7.6
4/3/2025 23:22:12,Male,University,2-4 hours,"Self-study, Group study",Yes,Evening,Almost no breaks,1-2 weeks before,4-6 hours,Never,No specific diet,No,Yes,Silent,< 15 min/hour,8.5,8.7
4/3/2025 23:22:29,Male,University,2-4 hours,Self-study,Yes,Afternoon,15+ min/hour,1-2 weeks before,4-6 hours,3-4 times,No specific diet,Yes,No,Soft background music,< 15 min/hour,6.5,6.0
4/3/2025 23:23:16,Female,High school,2-4 hours,Self-study,Yes,Late night,15+ min/hour,1-2 weeks before,4-6 hours,5+ times,No specific diet,Yes,Yes,Silent,15-30 min/hour,9.0,8.0
4/3/2025 23:29:32,Male,University,1-2 hours,"Self-study, Online learning",Yes,Evening,15+ min/hour,1-2 weeks before,4-6 hours,1-2 times,No specific diet,Yes,Yes,Soft background music,15-30 min/hour,7.5,8.0
4/3/2025 23:34:29,Male,University,2-4 hours,"Self-study, Group study, Online learning",Yes,Late night,15+ min/hour,1 day before,6-8 hours,1-2 times,No specific diet,Yes,Yes,Soft background music,> 30 min/hour,7.35,7.35
4/3/2025 23:35:25,Male,University,1-2 hours,"Self-study, Online learning",Yes,Late night,15+ min/hour,1-2 weeks before,6-8 hours,5+ times,Balanced diet,Yes,Yes,Soft background music,15-30 min/hour,8.0,8.0
4/3/2025 23:41:49,Male,University,> 4 hours,"Self-study, Online learning",Yes,Evening,10-15 min/hour,> 2 weeks before,6-8 hours,3-4 times,No specific diet,Yes,Yes,Soft background music,15-30 min/hour,8.46,9.35
4/3/2025 23:47:03,Female,University,1-2 hours,"Self-study, Tutoring",Yes,Evening,10-15 min/hour,1 day before,> 8 hours,3-4 times,Balanced diet,Yes,Yes,Silent,< 15 min/hour,7.0,7.0
4/3/2025 23:51:58,Male,High school,2-4 hours,Tutoring,Yes,Evening,10-15 min/hour,1-2 weeks before,6-8 hours,1-2 times,Balanced diet,No,No,Soft background music,15-30 min/hour,8.0,8.0
4/4/2025 0:08:14,Male,University,2-4 hours,"Self-study, Online learning",Yes,Late night,10-15 min/hour,1-2 weeks before,4-6 hours,3-4 times,Balanced diet,Yes,No,Silent,> 30 min/hour,6.0,7.0
